Location Description,Location Description,,,,,,,
ABANDONED BUILDING,PUBLIC OPEN SPACE,,,,,,,
AIRCRAFT,VEHICLE,,,,,,Column Labels,
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,AIRPORT ,,,,,Row Labels,(blank),Grand Total
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,AIRPORT ,,,,,COACH HOUSE,,
AIRPORT EXTERIOR - NON-SECURE AREA,AIRPORT ,,,,,GANGWAY,,
AIRPORT EXTERIOR - SECURE AREA,AIRPORT ,,,,,LIBRARY,,
AIRPORT PARKING LOT,PUBLIC OPEN SPACE,,,,,(blank),,
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,AIRPORT ,,,,,Grand Total,,
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,AIRPORT ,,,,,,,
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,AIRPORT ,,,,,,,
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,AIRPORT ,,,,,,,
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,AIRPORT ,,,,,,,
AIRPORT TRANSPORTATION SYSTEM (ATS),AIRPORT ,,,,,,,
AIRPORT VENDING ESTABLISHMENT,AIRPORT ,,,,,Row Labels,Count of Location Description,
AIRPORT/AIRCRAFT,AIRPORT ,,,,,COMMERCIAL BUILDING,55,
ALLEY,PUBLIC OPEN SPACE,,,,,PUBLIC OPEN SPACE,41,
ANIMAL HOSPITAL,COMMERCIAL BUILDING,,,,,RESIDENCE,28,
APARTMENT,RESIDENCE,,,,,VEHICLE,22,
APPLIANCE STORE,COMMERCIAL BUILDING,,,,,CITY/FEDERAL INSTALLATIONS,21,
ATHLETIC CLUB,COMMERCIAL BUILDING,,,,,EDUCATIONAL BUILDING,16,
ATM (AUTOMATIC TELLER MACHINE),PUBLIC OPEN SPACE,,,,,AIRPORT ,12,
AUTO,VEHICLE,,,,,HOSPITAL,8,
AUTO / BOAT / RV DEALERSHIP,VEHICLE,,,,,CHURCH,4,
BANK,COMMERCIAL BUILDING,,,,,OTHER,4,
BANQUET HALL,COMMERCIAL BUILDING,,,,,(blank),3,
